,NG sim,subject,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
2443,43,2203,217,394,422,795,795,795
2444,44,2203,239,522,963,1368,1368,1368
2445,45,2203,99,136,156,311,311,311
2446,46,2203,396,2586,2871,3897,3897,3897
2447,47,2203,47,84,328,570,570,570
2448,48,2203,159,1463,1585,2294,2294,2294
2449,49,2203,310,396,545,590,590,590
2450,50,2203,2055,2260,3466,3496,3496,3496
2451,51,2203,74,190,244,265,265,265
2452,52,2203,125,749,900,1221,1221,1221
2453,53,2203,140,226,240,251,251,251
2454,54,2203,115,9359,9382,9581,9581,9581
2455,55,2203,55,167,323,474,474,474
2456,56,2203,377,403,641,701,701,701
2457,57,2203,87,128,166,464,464,464
2458,58,2203,394,505,1089,1870,1870,1870
2459,59,2203,335,712,1063,1526,1526,1526
2460,60,2203,78,144,184,203,203,203
2461,61,2203,582,877,1092,1269,1269,1269
2462,62,2203,625,891,978,1591,1591,1591
2463,63,2203,93,205,318,411,411,411
2464,64,2203,169,454,533,620,620,620
2465,65,2203,1390,1985,1992,2044,2044,2044
2466,66,2203,54,131,199,253,253,253
2467,67,2203,70,121,202,276,276,276
2468,68,2203,1378,1583,1614,1718,1718,1718
2469,69,2203,72,207,359,398,398,398
2470,70,2203,70,322,1047,1080,1080,1080
2471,71,2203,467,673,2160,2232,2232,2232
2472,72,2203,360,518,533,641,641,641
2473,73,2203,87,162,460,656,656,656
2474,74,2203,146,221,236,560,560,560
2475,75,2203,214,450,2889,2932,2932,2932
2476,76,2203,68,106,160,267,267,267
2477,77,2203,71,92,106,208,208,208
2478,78,2203,205,253,303,384,384,384
2479,79,2203,270,422,548,645,645,645
2480,80,2203,3647,3737,3756,4017,4017,4017
2481,81,2203,107,204,275,353,353,353
2482,82,2203,156,280,299,403,403,403
2483,83,2203,70,111,144,220,220,220
2484,84,2203,286,386,467,545,545,545
2485,85,2203,176,479,802,841,841,841
2486,86,2203,462,521,561,651,651,651
2487,87,2203,238,336,364,386,386,386
2488,88,2203,544,1090,2776,3037,3037,3037
2489,89,2203,546,626,643,1002,1002,1002
2490,90,2203,212,329,641,826,826,826
2491,91,2203,105,3047,3438,3496,3496,3496
2492,92,2203,59,74,112,1466,1466,1466
2493,93,2203,572,628,1317,1603,1603,1603
2494,94,2203,747,813,825,832,832,832
2495,95,2203,98,210,263,354,354,354
2496,96,2203,104,196,280,359,359,359
2497,97,2203,883,1091,1198,1473,1473,1473
2498,98,2203,522,672,728,788,788,788
2499,99,2203,46,73,94,107,107,107
2500,0,2206,109,398,433,866,866,866
2501,1,2206,292,12534,12617,12987,12987,12987
2502,2,2206,383,430,540,810,810,810
2503,3,2206,287,1471,1536,1589,1589,1589
2504,4,2206,138,291,451,464,464,464
2505,5,2206,9994,10545,10584,10997,10997,10997
2506,6,2206,120,180,2519,2782,2782,2782
2507,7,2206,111,306,316,775,775,775
2508,8,2206,185,321,3116,3385,3385,3385
2509,9,2206,161,558,575,7091,7091,7091
2510,10,2206,110,140,733,846,846,846
2511,11,2206,154,678,863,1151,1151,1151
2512,12,2206,78,4676,4961,5616,5616,5616
2513,13,2206,517,558,592,919,919,919
2514,14,2206,98,142,203,403,403,403
2515,15,2206,70,600,622,1266,1266,1266
2516,16,2206,170,405,421,449,449,449
2517,17,2206,22281,23849,23872,24383,24383,24383
2518,18,2206,251,395,605,630,630,630
2519,19,2206,120,171,329,461,461,461
2520,20,2206,152,289,533,891,891,891
2521,21,2206,81,965,19922,20002,20002,20002
2522,22,2206,1613,2129,2161,2853,2853,2853
2523,23,2206,210,383,406,421,421,421
2524,24,2206,90,199,233,354,354,354
2525,25,2206,50,112,171,242,242,242
2526,26,2206,101,207,284,428,428,428
2527,27,2206,622,1376,1393,1630,1630,1630
2528,28,2206,8064,9329,9728,10541,10541,10541
2529,29,2206,1055,1788,12202,12636,12636,12636
2530,30,2206,608,644,914,1072,1072,1072
2531,31,2206,218,282,292,425,425,425
2532,32,2206,331,769,798,891,891,891
2533,33,2206,237,5710,5786,5864,5864,5864
2534,34,2206,114,154,384,754,754,754
2535,35,2206,680,893,1034,1310,1310,1310
2536,36,2206,215,314,594,711,711,711
2537,37,2206,305,2593,2788,2871,2871,2871
2538,38,2206,141,539,614,693,693,693
2539,39,2206,200,296,367,454,454,454
2540,40,2206,69,156,528,597,597,597
2541,41,2206,306,322,424,800,800,800
2542,42,2206,515,667,706,774,774,774
2543,43,2206,4976,5138,16991,17029,17029,17029
2544,44,2206,92,127,448,475,475,475
2545,45,2206,71,261,327,471,471,471
2546,46,2206,158,7838,8033,8262,8262,8262
2547,47,2206,312,1624,1704,2106,2106,2106
2548,48,2206,124,325,1288,1419,1419,1419
2549,49,2206,216,649,766,1500,1500,1500
2550,50,2206,178,340,415,727,727,727
2551,51,2206,104,141,166,176,176,176
2552,52,2206,54,141,241,276,276,276
2553,53,2206,57,77,105,922,922,922
2554,54,2206,51,66,109,149,149,149
2555,55,2206,3959,4047,5861,6288,6288,6288
2556,56,2206,197,6289,6347,6532,6532,6532
2557,57,2206,303,803,842,844,844,844
2558,58,2206,1047,1142,1193,1954,1954,1954
2559,59,2206,137,240,255,399,399,399
2560,60,2206,82,200,450,732,732,732
2561,61,2206,1801,1841,1845,2282,2282,2282
2562,62,2206,222,331,502,591,591,591
2563,63,2206,5445,11541,11622,12153,12153,12153
2564,64,2206,227,346,382,442,442,442
2565,65,2206,5485,17892,17970,18034,18034,18034
2566,66,2206,254,2356,2670,2789,2789,2789
2567,67,2206,100,174,184,230,230,230
2568,68,2206,3015,3306,3376,3478,3478,3478
2569,69,2206,42,124,195,272,272,272
2570,70,2206,170,486,692,902,902,902
2571,71,2206,4771,5189,5196,5527,5527,5527
2572,72,2206,277,303,379,446,446,446
2573,73,2206,834,3255,3490,3841,3841,3841
2574,74,2206,68,561,603,644,644,644
2575,75,2206,199,299,505,530,530,530
2576,76,2206,52,1334,1361,1416,1416,1416
2577,77,2206,112,400,585,836,836,836
2578,78,2206,57,84,145,302,302,302
2579,79,2206,73,2462,2928,3248,3248,3248
2580,80,2206,900,1552,1676,2285,2285,2285
2581,81,2206,63,148,155,259,259,259
2582,82,2206,1575,1650,1715,1741,1741,1741
2583,83,2206,99,4444,4501,4608,4608,4608
2584,84,2206,2173,2312,2520,2599,2599,2599
2585,85,2206,79,194,239,649,649,649
2586,86,2206,43,9023,9037,9103,9103,9103
2587,87,2206,162,402,420,1414,1414,1414
2588,88,2206,243,386,1468,1608,1608,1608
2589,89,2206,566,761,776,804,804,804
2590,90,2206,336,439,539,805,805,805
2591,91,2206,140,774,809,1141,1141,1141
2592,92,2206,93,159,212,296,296,296
2593,93,2206,1138,2427,2917,2958,2958,2958
2594,94,2206,493,571,884,1366,1366,1366
2595,95,2206,423,575,593,774,774,774
2596,96,2206,477,977,1279,1333,1333,1333
2597,97,2206,121,160,218,281,281,281
2598,98,2206,105,163,175,322,322,322
2599,99,2206,157,186,448,648,648,648
2600,0,2211,212,460,475,918,918,918
2601,1,2211,1556,1614,1703,1780,1780,1780
2602,2,2211,246,286,288,444,444,444
2603,3,2211,110,3936,4249,4374,4374,4374
2604,4,2211,276,686,837,1332,1332,1332
2605,5,2211,213,305,555,567,567,567
2606,6,2211,79,4070,4123,4569,4569,4569
2607,7,2211,747,1263,1300,1645,1645,1645
2608,8,2211,79,374,523,777,777,777
2609,9,2211,331,466,475,1107,1107,1107
2610,10,2211,1388,3210,3259,3385,3385,3385
2611,11,2211,113,148,226,361,361,361
2612,12,2211,84,113,134,233,233,233
2613,13,2211,3365,5398,5433,6102,6102,6102
2614,14,2211,360,414,459,496,496,496
2615,15,2211,355,554,640,684,684,684
2616,16,2211,133,284,5395,5667,5667,5667
2617,17,2211,192,454,474,701,701,701
2618,18,2211,217,350,403,2903,2903,2903
2619,19,2211,60,132,193,414,414,414
2620,20,2211,146,453,500,615,615,615
2621,21,2211,145,202,218,249,249,249
2622,22,2211,527,551,614,766,766,766
2623,23,2211,150,419,483,661,661,661
2624,24,2211,134,624,837,1068,1068,1068
2625,25,2211,137,306,405,880,880,880
2626,26,2211,143,229,257,462,462,462
2627,27,2211,215,3278,3515,3743,3743,3743
2628,28,2211,53,70,152,479,479,479
2629,29,2211,1677,2556,2593,2655,2655,2655
2630,30,2211,871,1143,1213,1247,1247,1247
2631,31,2211,62,163,363,484,484,484
2632,32,2211,113,4126,4297,4394,4394,4394
2633,33,2211,83,258,279,526,526,526
2634,34,2211,532,702,806,1037,1037,1037
2635,35,2211,82,145,186,440,440,440
2636,36,2211,242,550,566,654,654,654
2637,37,2211,86,194,679,806,806,806
2638,38,2211,505,551,570,597,597,597
2639,39,2211,79,97,109,165,165,165
2640,40,2211,681,759,957,1135,1135,1135
2641,41,2211,112,1772,1828,2143,2143,2143
2642,42,2211,46,95,331,675,675,675
2643,43,2211,7402,11815,11940,11974,11974,11974
2644,44,2211,780,882,898,939,939,939
2645,45,2211,81,247,250,265,265,265
2646,46,2211,56,85,141,184,184,184
2647,47,2211,113,215,308,709,709,709
2648,48,2211,3917,4943,5052,5321,5321,5321
2649,49,2211,2152,2648,3003,3064,3064,3064
2650,50,2211,841,5146,12068,12221,12221,12221
2651,51,2211,115,1325,2244,2542,2542,2542
2652,52,2211,136,308,329,359,359,359
2653,53,2211,126,289,507,735,735,735
2654,54,2211,728,931,1035,1236,1236,1236
2655,55,2211,88,176,296,755,755,755
2656,56,2211,70,115,152,178,178,178
2657,57,2211,67,201,292,359,359,359
2658,58,2211,2368,4101,4124,4421,4421,4421
2659,59,2211,364,413,451,569,569,569
2660,60,2211,324,443,588,668,668,668
2661,61,2211,657,1149,1395,1597,1597,1597
2662,62,2211,243,362,587,691,691,691
2663,63,2211,95,116,611,836,836,836
2664,64,2211,2279,2659,2710,2851,2851,2851
2665,65,2211,2762,2811,2841,3047,3047,3047
2666,66,2211,341,374,383,578,578,578
2667,67,2211,403,1096,1410,1547,1547,1547
2668,68,2211,451,520,541,559,559,559
2669,69,2211,235,781,858,995,995,995
2670,70,2211,292,823,972,983,983,983
2671,71,2211,452,1837,3717,3797,3797,3797
2672,72,2211,357,552,919,959,959,959
2673,73,2211,60,190,388,670,670,670
2674,74,2211,442,725,1065,1198,1198,1198
2675,75,2211,209,320,970,1113,1113,1113
2676,76,2211,88,249,270,413,413,413
2677,77,2211,1499,1712,1761,1792,1792,1792
2678,78,2211,168,326,351,544,544,544
2679,79,2211,554,2504,2540,2660,2660,2660
2680,80,2211,390,432,711,844,844,844
2681,81,2211,111,131,179,295,295,295
2682,82,2211,91,1292,2388,2461,2461,2461
2683,83,2211,136,1656,1755,3007,3007,3007
2684,84,2211,87,120,137,238,238,238
2685,85,2211,198,444,528,691,691,691
2686,86,2211,132,296,337,524,524,524
2687,87,2211,201,350,440,557,557,557
2688,88,2211,2488,7186,7291,7343,7343,7343
2689,89,2211,196,671,8069,8123,8123,8123
2690,90,2211,2474,2529,2566,2660,2660,2660
2691,91,2211,96,422,932,982,982,982
2692,92,2211,2469,3065,4225,4428,4428,4428
2693,93,2211,544,728,908,1210,1210,1210
2694,94,2211,4868,5091,5292,5364,5364,5364
2695,95,2211,59,237,450,559,559,559
2696,96,2211,225,1096,1212,1686,1686,1686
2697,97,2211,57,150,306,582,582,582
2698,98,2211,48,318,411,447,447,447
2699,99,2211,3083,3148,3152,3476,3476,3476
2700,0,2215,92,132,151,213,213,213
2701,1,2215,65,79,161,1205,1205,1205
2702,2,2215,177,262,319,413,413,413
2703,3,2215,344,545,566,585,585,585
2704,4,2215,78,157,221,237,237,237
2705,5,2215,751,793,1687,2032,2032,2032
2706,6,2215,136,217,300,337,337,337
2707,7,2215,207,359,587,694,694,694
2708,8,2215,117,134,142,226,226,226
2709,9,2215,90,2317,2327,2570,2570,2570
2710,10,2215,331,848,1297,2093,2093,2093
2711,11,2215,1492,2142,2188,2228,2228,2228
2712,12,2215,333,862,2855,2959,2959,2959
2713,13,2215,194,2242,2247,2477,2477,2477
2714,14,2215,379,685,713,1359,1359,1359
2715,15,2215,95,195,333,408,408,408
2716,16,2215,58,412,428,619,619,619
2717,17,2215,463,589,926,1070,1070,1070
2718,18,2215,83,3017,3216,3428,3428,3428
2719,19,2215,711,1166,1189,1243,1243,1243
2720,20,2215,1800,2006,2078,2297,2297,2297
2721,21,2215,310,3049,3097,3507,3507,3507
2722,22,2215,470,629,721,834,834,834
2723,23,2215,211,229,390,475,475,475
2724,24,2215,54,97,173,206,206,206
2725,25,2215,936,1176,1301,1426,1426,1426
2726,26,2215,89,114,193,285,285,285
2727,27,2215,193,359,428,630,630,630
2728,28,2215,94,165,201,205,205,205
2729,29,2215,162,259,650,918,918,918
2730,30,2215,45,79,132,161,161,161
2731,31,2215,52,153,163,708,708,708
2732,32,2215,218,273,365,401,401,401
2733,33,2215,110,145,161,310,310,310
2734,34,2215,212,313,402,501,501,501
2735,35,2215,87,123,283,320,320,320
2736,36,2215,195,355,460,524,524,524
2737,37,2215,116,169,375,521,521,521
2738,38,2215,311,428,446,703,703,703
2739,39,2215,11083,11199,11304,11546,11546,11546
2740,40,2215,152,230,267,280,280,280
2741,41,2215,40,105,140,205,205,205
2742,42,2215,1776,1840,1971,2260,2260,2260
2743,43,2215,331,453,656,673,673,673
2744,44,2215,279,371,414,478,478,478
2745,45,2215,2059,2282,2737,2875,2875,2875
2746,46,2215,2282,8675,8845,9118,9118,9118
2747,47,2215,81,282,669,1191,1191,1191
2748,48,2215,210,313,470,642,642,642
2749,49,2215,71,2746,2777,2845,2845,2845
2750,50,2215,217,615,800,830,830,830
2751,51,2215,519,620,675,954,954,954
2752,52,2215,1155,1257,1282,1405,1405,1405
2753,53,2215,1701,2300,2497,2555,2555,2555
2754,54,2215,57,74,222,253,253,253
2755,55,2215,127,652,732,1209,1209,1209
2756,56,2215,307,447,620,901,901,901
2757,57,2215,67,258,617,703,703,703
2758,58,2215,66,188,200,351,351,351
2759,59,2215,105,163,186,269,269,269
2760,60,2215,255,392,422,600,600,600
2761,61,2215,97,3297,3344,3369,3369,3369
2762,62,2215,106,182,210,349,349,349
2763,63,2215,160,238,481,537,537,537
2764,64,2215,92,465,598,618,618,618
2765,65,2215,107,149,205,451,451,451
2766,66,2215,108,247,3785,3790,3790,3790
2767,67,2215,641,698,726,782,782,782
2768,68,2215,88,447,499,680,680,680
2769,69,2215,244,648,816,980,980,980
2770,70,2215,162,473,820,1008,1008,1008
2771,71,2215,273,315,410,603,603,603
2772,72,2215,205,304,336,512,512,512
2773,73,2215,1088,1276,1441,1510,1510,1510
2774,74,2215,909,1274,1308,1358,1358,1358
2775,75,2215,55,114,192,225,225,225
2776,76,2215,110,260,351,365,365,365
2777,77,2215,55,116,143,385,385,385
2778,78,2215,93,126,161,202,202,202
2779,79,2215,259,405,576,641,641,641
2780,80,2215,100,226,327,352,352,352
2781,81,2215,2516,2598,2772,2798,2798,2798
2782,82,2215,246,1034,1131,1234,1234,1234
2783,83,2215,776,957,1091,1318,1318,1318
2784,84,2215,218,254,305,362,362,362
2785,85,2215,988,1068,1203,1520,1520,1520
2786,86,2215,136,193,234,451,451,451
2787,87,2215,47,443,518,656,656,656
2788,88,2215,414,620,1253,1581,1581,1581
2789,89,2215,288,1007,1186,1474,1474,1474
2790,90,2215,173,216,239,610,610,610
2791,91,2215,681,824,918,1084,1084,1084
2792,92,2215,95,153,164,264,264,264
2793,93,2215,299,316,480,600,600,600
2794,94,2215,91,148,177,229,229,229
2795,95,2215,125,552,724,788,788,788
2796,96,2215,106,458,556,642,642,642
2797,97,2215,81,153,193,284,284,284
2798,98,2215,393,454,510,1202,1202,1202
2799,99,2215,92,1035,1095,1673,1673,1673
2800,0,2219,504,992,1003,1167,1167,1167
2801,1,2219,90,118,132,2935,2935,2935
2802,2,2219,111,161,185,691,691,691
2803,3,2219,47,56,982,1946,1946,1946
2804,4,2219,332,682,689,1027,1027,1027
2805,5,2219,979,1805,2382,2407,2407,2407
2806,6,2219,261,488,714,748,748,748
2807,7,2219,227,350,528,776,776,776
2808,8,2219,110,229,255,322,322,322
2809,9,2219,200,272,320,369,369,369
2810,10,2219,93,147,170,508,508,508
2811,11,2219,50,496,754,961,961,961
2812,12,2219,505,1281,1366,1567,1567,1567
2813,13,2219,89,469,646,724,724,724
2814,14,2219,454,482,522,688,688,688
2815,15,2219,437,1261,1356,2139,2139,2139
2816,16,2219,78,165,241,1497,1497,1497
2817,17,2219,138,6132,6221,6315,6315,6315
2818,18,2219,164,310,323,848,848,848
2819,19,2219,1276,1308,1360,1620,1620,1620
2820,20,2219,235,858,875,1755,1755,1755
2821,21,2219,344,364,492,520,520,520
2822,22,2219,252,2907,3495,3700,3700,3700
2823,23,2219,180,501,1713,1766,1766,1766
2824,24,2219,71,212,317,547,547,547
2825,25,2219,120,145,1833,2374,2374,2374
2826,26,2219,382,590,765,876,876,876
2827,27,2219,182,329,744,853,853,853
2828,28,2219,76,244,402,685,685,685
2829,29,2219,108,284,396,498,498,498
2830,30,2219,87,255,280,347,347,347
2831,31,2219,69,105,448,610,610,610
2832,32,2219,55,92,174,206,206,206
2833,33,2219,483,1995,2052,2364,2364,2364
2834,34,2219,129,809,829,1061,1061,1061
2835,35,2219,69,74,80,593,593,593
2836,36,2219,1069,1169,1175,1288,1288,1288
2837,37,2219,312,382,423,465,465,465
2838,38,2219,141,201,768,804,804,804
2839,39,2219,237,288,345,502,502,502
2840,40,2219,61,80,99,114,114,114
2841,41,2219,147,3573,3585,3681,3681,3681
2842,42,2219,63,75,98,140,140,140
2843,43,2219,215,396,439,529,529,529
2844,44,2219,102,731,1253,1288,1288,1288
2845,45,2219,117,287,415,860,860,860
2846,46,2219,199,730,1013,1104,1104,1104
2847,47,2219,390,1294,1888,2625,2625,2625
2848,48,2219,361,503,554,563,563,563
2849,49,2219,68,319,401,451,451,451
2850,50,2219,123,145,239,330,330,330
2851,51,2219,1018,1125,1197,1225,1225,1225
2852,52,2219,303,5356,5675,5727,5727,5727
2853,53,2219,881,920,1453,2173,2173,2173
2854,54,2219,228,750,846,936,936,936
2855,55,2219,56,120,180,453,453,453
2856,56,2219,81,234,293,562,562,562
2857,57,2219,685,729,759,792,792,792
2858,58,2219,69,140,196,228,228,228
2859,59,2219,47,74,132,158,158,158
2860,60,2219,431,526,1065,1445,1445,1445
2861,61,2219,150,224,237,256,256,256
2862,62,2219,91,749,827,922,922,922
2863,63,2219,232,474,626,740,740,740
2864,64,2219,71,4143,5421,5447,5447,5447
2865,65,2219,91,111,321,393,393,393
2866,66,2219,67,119,210,375,375,375
2867,67,2219,155,939,965,1214,1214,1214
2868,68,2219,310,1340,1381,1395,1395,1395
2869,69,2219,56,102,259,3260,3260,3260
2870,70,2219,95,317,322,375,375,375
2871,71,2219,995,1071,1076,1178,1178,1178
2872,72,2219,101,125,451,885,885,885
2873,73,2219,226,377,401,1258,1258,1258
2874,74,2219,816,878,977,1003,1003,1003
2875,75,2219,258,317,352,407,407,407
2876,76,2219,181,1110,1848,1952,1952,1952
2877,77,2219,136,263,279,574,574,574
2878,78,2219,336,367,509,580,580,580
2879,79,2219,258,463,468,576,576,576
2880,80,2219,282,353,423,517,517,517
2881,81,2219,484,1024,1055,1069,1069,1069
2882,82,2219,75,125,275,458,458,458
2883,83,2219,116,183,262,295,295,295
2884,84,2219,101,215,267,331,331,331
2885,85,2219,54,159,189,214,214,214
2886,86,2219,188,350,400,460,460,460
2887,87,2219,316,1953,2258,2331,2331,2331
2888,88,2219,159,413,510,799,799,799
2889,89,2219,318,734,881,2050,2050,2050
2890,90,2219,93,1154,1182,1289,1289,1289
2891,91,2219,2121,3054,3178,3330,3330,3330
2892,92,2219,1892,1988,2181,2191,2191,2191
2893,93,2219,117,206,323,374,374,374
2894,94,2219,224,493,1350,1697,1697,1697
2895,95,2219,550,1939,1963,2353,2353,2353
2896,96,2219,142,1502,1551,1732,1732,1732
2897,97,2219,195,533,568,580,580,580
2898,98,2219,187,243,299,583,583,583
2899,99,2219,460,551,704,750,750,750
2900,0,2220,939,1087,1132,1331,1331,1331
2901,1,2220,78,121,246,274,274,274
2902,2,2220,85,148,1017,1062,1062,1062
2903,3,2220,3900,4004,4176,4433,4433,4433
2904,4,2220,198,7232,7348,7420,7420,7420
2905,5,2220,203,317,12778,13102,13102,13102
2906,6,2220,218,8275,14956,14975,14975,14975
2907,7,2220,808,858,988,1042,1042,1042
2908,8,2220,2029,3834,4127,4170,4170,4170
2909,9,2220,16747,16810,17012,17154,17154,17154
2910,10,2220,253,4063,4186,4856,4856,4856
2911,11,2220,5504,13224,13247,13276,13276,13276
2912,12,2220,42,100,281,1928,1928,1928
2913,13,2220,7793,12840,12948,13218,13218,13218
2914,14,2220,98,180,209,245,245,245
2915,15,2220,120,297,319,960,960,960
2916,16,2220,59,548,569,708,708,708
2917,17,2220,73,202,268,503,503,503
2918,18,2220,136,392,537,831,831,831
2919,19,2220,1847,2237,2311,2599,2599,2599
2920,20,2220,165,329,351,546,546,546
2921,21,2220,96,344,548,598,598,598
2922,22,2220,94,107,151,420,420,420
2923,23,2220,3397,17947,17965,18017,18017,18017
2924,24,2220,1853,2443,2462,2478,2478,2478
2925,25,2220,249,367,3076,3199,3199,3199
2926,26,2220,77,228,348,541,541,541
2927,27,2220,623,1104,1773,2032,2032,2032
2928,28,2220,101,145,160,329,329,329
2929,29,2220,160,824,1053,1104,1104,1104
2930,30,2220,438,1192,1648,2006,2006,2006
2931,31,2220,224,1024,3247,3259,3259,3259
2932,32,2220,731,904,951,975,975,975
2933,33,2220,2520,3117,3167,3200,3200,3200
2934,34,2220,238,339,491,961,961,961
2935,35,2220,221,3569,3908,3965,3965,3965
2936,36,2220,425,487,520,708,708,708
2937,37,2220,564,631,680,762,762,762
2938,38,2220,72,127,220,384,384,384
2939,39,2220,183,547,899,1202,1202,1202
2940,40,2220,172,222,262,377,377,377
2941,41,2220,89,128,272,399,399,399
2942,42,2220,952,3536,3572,3716,3716,3716
2943,43,2220,197,4440,4454,8300,8300,8300
2944,44,2220,100,275,296,513,513,513
2945,45,2220,85,212,539,1243,1243,1243
2946,46,2220,66,115,220,370,370,370
2947,47,2220,283,405,636,703,703,703
2948,48,2220,99,132,155,483,483,483
2949,49,2220,138,254,469,564,564,564
2950,50,2220,569,620,692,828,828,828
2951,51,2220,52,176,271,335,335,335
2952,52,2220,988,1042,1214,1919,1919,1919
2953,53,2220,776,1891,1956,2087,2087,2087
2954,54,2220,56,105,119,1230,1230,1230
2955,55,2220,133,292,297,333,333,333
2956,56,2220,365,735,763,884,884,884
2957,57,2220,183,224,454,565,565,565
2958,58,2220,164,407,430,994,994,994
2959,59,2220,1379,1744,1990,2047,2047,2047
2960,60,2220,41,59,73,235,235,235
2961,61,2220,366,660,689,771,771,771
2962,62,2220,1785,1838,1901,8586,8586,8586
2963,63,2220,98,196,241,338,338,338
2964,64,2220,1729,2036,2043,2110,2110,2110
2965,65,2220,2537,6854,6918,7263,7263,7263
2966,66,2220,213,784,995,1432,1432,1432
2967,67,2220,99,115,183,422,422,422
2968,68,2220,110,136,387,515,515,515
2969,69,2220,103,3826,3982,4056,4056,4056
2970,70,2220,278,8591,8600,8804,8804,8804
2971,71,2220,128,8689,8749,8783,8783,8783
2972,72,2220,1210,1349,1456,1643,1643,1643
2973,73,2220,113,176,281,377,377,377
2974,74,2220,1408,4178,4195,4273,4273,4273
2975,75,2220,283,322,327,396,396,396
2976,76,2220,327,574,811,1170,1170,1170
2977,77,2220,67,92,130,224,224,224
2978,78,2220,93,132,245,402,402,402
2979,79,2220,548,2901,3031,3069,3069,3069
2980,80,2220,125,415,444,1019,1019,1019
2981,81,2220,149,360,400,2108,2108,2108
2982,82,2220,310,478,514,595,595,595
2983,83,2220,75,212,380,429,429,429
2984,84,2220,126,196,262,368,368,368
2985,85,2220,317,456,504,535,535,535
2986,86,2220,202,427,475,711,711,711
2987,87,2220,62,103,154,260,260,260
2988,88,2220,201,4593,4633,4646,4646,4646
2989,89,2220,98,895,1083,1335,1335,1335
2990,90,2220,50,87,137,532,532,532
2991,91,2220,540,755,839,1033,1033,1033
2992,92,2220,203,649,667,798,798,798
2993,93,2220,183,212,404,430,430,430
2994,94,2220,361,687,919,1063,1063,1063
2995,95,2220,110,464,511,574,574,574
2996,96,2220,6351,8837,9653,9871,9871,9871
2997,97,2220,155,506,549,639,639,639
2998,98,2220,2930,3075,3145,3433,3433,3433
2999,99,2220,282,567,635,805,805,805
3000,0,2221,236,2479,2489,2599,2599,2599
3001,1,2221,124,213,410,571,571,571
3002,2,2221,3812,4193,4288,4369,4369,4369
3003,3,2221,196,229,279,343,343,343
3004,4,2221,235,4817,13583,13741,13741,13741
3005,5,2221,38,51,69,302,302,302
3006,6,2221,152,208,1500,1577,1577,1577
3007,7,2221,1464,1570,1637,1795,1795,1795
3008,8,2221,1120,8911,8940,9030,9030,9030
3009,9,2221,1424,1552,2016,2659,2659,2659
3010,10,2221,228,333,344,374,374,374
3011,11,2221,104,151,564,1054,1054,1054
3012,12,2221,200,386,396,559,559,559
3013,13,2221,138,1194,1355,2118,2118,2118
3014,14,2221,93,253,294,478,478,478
3015,15,2221,102,381,384,457,457,457
3016,16,2221,202,643,740,873,873,873
3017,17,2221,79,147,158,330,330,330
3018,18,2221,117,181,418,1141,1141,1141
3019,19,2221,356,453,738,917,917,917
3020,20,2221,351,402,769,894,894,894
3021,21,2221,718,8782,8795,9089,9089,9089
3022,22,2221,152,505,542,713,713,713
3023,23,2221,69,89,157,275,275,275
3024,24,2221,136,324,1443,1460,1460,1460
3025,25,2221,141,281,285,316,316,316
3026,26,2221,71,419,435,1082,1082,1082
3027,27,2221,5298,5821,6267,6284,6284,6284
3028,28,2221,88,310,429,499,499,499
3029,29,2221,153,264,357,644,644,644
3030,30,2221,413,2155,2987,3133,3133,3133
3031,31,2221,49,88,107,138,138,138
3032,32,2221,96,338,374,456,456,456
3033,33,2221,215,1156,1395,1548,1548,1548
3034,34,2221,95,156,212,284,284,284
3035,35,2221,917,1498,1693,2167,2167,2167
3036,36,2221,340,3042,5457,5578,5578,5578
3037,37,2221,6934,7152,7250,7569,7569,7569
3038,38,2221,79,117,177,406,406,406
3039,39,2221,83,2303,2432,2442,2442,2442
3040,40,2221,119,147,215,285,285,285
3041,41,2221,109,257,295,314,314,314
3042,42,2221,275,717,2247,2867,2867,2867
3043,43,2221,462,2223,2764,2813,2813,2813
3044,44,2221,100,264,327,412,412,412
3045,45,2221,54,238,278,496,496,496
3046,46,2221,220,366,417,437,437,437
3047,47,2221,76,135,144,391,391,391
3048,48,2221,345,453,473,581,581,581
3049,49,2221,292,1333,1556,2070,2070,2070
3050,50,2221,102,555,631,640,640,640
3051,51,2221,100,329,2532,3005,3005,3005
3052,52,2221,802,1025,1081,1328,1328,1328
3053,53,2221,118,243,291,453,453,453
3054,54,2221,336,456,1726,1911,1911,1911
3055,55,2221,411,445,469,604,604,604
3056,56,2221,143,344,436,830,830,830
3057,57,2221,752,1212,1319,1376,1376,1376
3058,58,2221,53,143,322,598,598,598
3059,59,2221,67,918,930,937,937,937
3060,60,2221,1732,1765,2306,2430,2430,2430
3061,61,2221,88,168,185,205,205,205
3062,62,2221,2083,3301,3377,3446,3446,3446
3063,63,2221,100,152,224,294,294,294
3064,64,2221,212,485,559,841,841,841
3065,65,2221,150,183,347,561,561,561
3066,66,2221,129,241,271,828,828,828
3067,67,2221,303,6010,6053,6202,6202,6202
3068,68,2221,414,2832,2941,3146,3146,3146
3069,69,2221,1114,2206,2375,3075,3075,3075
3070,70,2221,3766,4059,4145,4267,4267,4267
3071,71,2221,69,280,407,504,504,504
3072,72,2221,94,133,139,485,485,485
3073,73,2221,172,1144,1676,1807,1807,1807
3074,74,2221,154,226,240,290,290,290
