subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
715950,216,450,912,1040,1177,1209,1237
720337,138,202,423,576,703,897,1114
723141,534,999,1206,1375,1588,1624,1925
724446,138,263,390,453,610,788,1228
725751,354,713,1285,1558,1601,1623,1629
727553,104,207,300,457,508,577,579
727654,158,386,572,659,798,824,963
728454,223,292,501,769,964,969,1255
729254,223,331,929,1244,1329,1534,1537
731140,221,595,860,919,1033,1078,1231
735148,163,270,424,637,774,944,1009
737960,292,467,564,736,817,884,1018
742549,133,1507,1702,1828,1867,1870,1995
744553,149,336,479,649,814,841,1001
748662,190,497,1086,1258,1400,1436,1449
749058,305,645,898,1146,1319,1324,1542
753150,225,284,570,619,788,805,1048
757764,254,313,1138,1291,1462,1502,1549
759869,784,839,917,1080,1158,1283,1330
760551,216,607,775,1030,1145,1149,1187
763557,345,442,707,821,900,1127,1796
765864,217,347,719,967,1096,1157,1418
767464,434,986,1131,1459,1476,1506,1520
769064,432,929,1021,1107,1441,1505,1542
770352,156,404,525,823,943,956,1353
771354,175,274,537,587,633,725,817
773257,388,1188,1267,1783,1898,2102,2284
774663,179,591,992,1077,1118,1145,1150
779370,305,458,621,687,814,836,864
782561,228,1717,1989,2012,2074,2086,2223
783462,194,626,993,1255,1470,1621,1738
784565,561,672,897,946,1134,1145,1165
788674,353,968,1308,1347,1507,1532,1570
789373,288,468,722,936,1027,1092,1160
792766,228,336,959,1187,1394,1492,1530
792867,240,632,939,1111,1314,1338,1502
793465,235,334,541,586,687,701,968
800941,508,1813,1946,2103,2122,2134,2299
802844,157,194,422,600,668,818,879
803240,369,509,1227,1377,1419,1421,1710
804646,184,358,614,777,971,988,1041
809252,173,328,676,1011,1160,1477,1547
810843,348,728,1337,1460,1508,1644,1854
812746,227,551,760,902,973,1049,1254
814548,281,452,863,1226,1358,1399,1572
814649,319,532,675,785,836,965,978
815247,142,659,812,933,952,1062,1063
816653,100,170,410,651,1161,1179,1222
818455,377,756,1336,1423,1491,1715,1738
818859,130,873,944,1036,1135,1180,1182
820745,155,700,1125,1190,1393,1436,1457
825048,410,634,839,1155,1183,1328,1509
825553,228,873,1105,1194,1292,1513,1526
825654,171,316,394,683,855,876,1155
826454,155,305,806,859,938,1023,1050
827052,343,941,1373,1647,2040,2071,2145
828862,117,495,811,906,956,1116,1122
832651,187,2243,2508,2587,2704,2710,3011
833148,167,529,1173,1286,1300,1333,1593
833249,128,521,803,906,1084,1161,1461
835657,324,566,968,989,1072,1073,1436
837560,138,186,246,349,413,448,900
837964,185,1864,1970,2079,2141,2153,2174
841349,233,591,707,958,999,1046,1063
843151,570,678,1067,1157,1380,1479,1493
844961,264,350,526,565,767,924,955
845458,173,333,509,525,610,716,799
849264,213,741,1004,1094,1164,1214,1275
849971,182,326,841,917,1198,1348,1385
852455,285,764,915,977,1166,1197,1403
856968,250,473,675,715,847,926,972
867468,132,165,747,828,842,1151,1181
869472,125,316,739,922,1003,1262,1581
870861,315,364,819,980,1094,1096,1286
871762,226,425,682,885,944,957,1106
872562,233,866,1100,1644,1862,1920,1987
872764,132,185,281,300,408,409,432
873968,240,352,829,945,1068,1162,1207
877269,166,385,592,650,734,888,889
878776,250,830,1254,1290,1420,1431,1605
878877,109,188,561,615,729,748,966
880157,261,340,593,681,766,800,836
882161,536,1091,1213,1438,1589,1622,1804
884064,136,198,305,446,533,855,861
886674,437,1271,1558,1719,1827,1887,1936
888678,190,708,1939,2130,2247,2362,2409
891667,260,711,930,980,988,997,1009
894067,172,196,364,484,929,1145,1213
894774,218,930,1570,1768,1817,1845,1899
898176,147,524,1070,1163,1290,1297,1699
901038,157,273,326,479,583,823,846
901442,175,1972,2163,2213,2481,3000,3025
902242,463,645,964,1024,1075,1151,1162
905147,219,604,910,1138,1314,1332,1488
907656,142,340,431,653,845,854,912
908860,307,1623,1872,2011,2072,2079,2134
910241,201,592,834,895,1225,1230,1283
910443,169,250,291,538,878,1028,1100
911849,766,1022,1327,1383,1500,1536,1569
912447,208,337,640,665,852,855,862
917558,123,213,551,733,847,859,932
919966,125,651,952,1109,1259,1353,1382
922854,146,177,468,565,765,1092,1120
923755,177,295,508,824,1172,1294,1299
926862,106,171,289,361,400,456,457
927359,198,258,582,877,988,1001,1002
930449,148,234,455,638,765,820,960
933253,164,246,463,575,726,761,852
942658,192,555,748,936,981,1117,1183
943862,997,1176,1647,1831,1852,1927,1988
947668,212,492,834,1033,1057,1174,1569
952863,140,686,977,1054,1253,1297,1471
955465,200,304,726,780,802,844,905
957974,125,353,711,944,1074,1098,1116
958976,134,398,744,929,1125,1334,1378
962058,224,343,482,675,720,850,858
965367,178,225,499,629,778,813,1001
965771,159,203,302,565,639,641,880
966975,154,541,634,669,1043,1141,1414
969476,182,481,971,1177,1223,1258,1294
970764,118,375,768,856,1104,1142,1290
971160,224,598,819,1184,1455,1538,1565
978578,172,303,442,494,671,694,747
979984,246,565,770,805,1039,1112,1338
983773,117,625,1852,2101,2353,2473,2500
987074,364,964,1210,1321,1359,1457,1600
987983,187,944,2549,2711,2790,2819,3004
989987,348,705,1242,1403,1443,1520,1690
990366,172,261,573,628,955,1015,1047
991267,221,388,591,749,925,1091,1117
992673,575,1006,1333,1587,1618,2001,2090
993675,116,255,565,803,1062,1139,1356
994273,138,357,537,723,827,858,1032
996782,225,845,1282,1433,1625,1684,1778
