subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
138332,192,378,530,702,798,1041,1060
138837,314,674,889,1060,1204,1334,1511
139233,401,538,891,965,1262,1371,1561
139435,388,515,804,934,1082,1156,1179
139839,146,225,982,1188,1398,1428,1495
140117,150,306,555,636,937,1013,1056
140319,427,1407,1810,2048,2081,2090,2104
140824,342,821,1211,1370,1624,1693,1799
140925,282,1218,1518,1671,1732,1733,1755
141119,142,182,350,400,447,559,679
141422,407,706,1213,1467,1572,1616,1676
141826,455,1154,1566,1931,2016,2139,2374
143224,192,1502,2212,2635,2688,2706,2726
143426,265,728,901,1216,1522,1560,1897
143830,593,924,1607,1672,1696,1818,1884
144125,219,593,892,961,1008,1024,1070
144731,289,631,1544,1966,2320,2404,2416
144832,130,278,507,724,861,887,898
144933,241,692,1486,1615,1636,1637,1793
145127,242,742,938,1338,1379,1467,2051
145632,181,1509,1945,2179,2248,2358,2379
145834,173,384,517,558,684,716,1095
146129,183,1642,1986,2157,2230,2314,2406
146331,172,660,816,863,988,1175,1497
146432,394,549,1206,1333,1483,1498,1503
146533,420,853,1062,1106,1313,1322,1393
146735,116,942,1318,1402,1490,1498,1712
146836,565,2333,3731,3931,3972,4182,4538
146937,138,720,1158,1364,1643,1721,1861
147030,96,495,678,799,855,859,1048
147636,232,389,513,823,937,1193,1347
147737,393,1456,1682,1915,2266,2518,2572
148133,159,968,1420,1658,1768,1787,1870
148335,221,401,554,618,782,785,846
148436,455,1285,1451,1760,1792,1858,1885
148840,593,1094,1428,1705,1911,1930,1976
148941,174,581,675,885,1095,1146,1449
149236,208,1330,1589,1664,1851,1865,2264
149741,212,532,695,771,970,1111,1300
149842,166,357,462,598,655,792,849
150625,192,387,940,1243,1370,1422,1532
150726,194,246,607,646,723,1016,1076
150928,174,335,1055,1224,1350,1391,1400
151324,165,412,622,686,774,775,817
151425,119,218,519,670,895,1020,1056
151728,167,386,704,757,1046,1274,1417
151829,142,898,1152,1215,1294,1319,1361
151930,462,596,857,900,1284,1405,1665
152225,191,332,616,668,1257,1303,1367
152427,143,401,819,879,910,996,1068
152831,124,164,265,338,369,403,419
153025,136,254,325,394,493,559,735
153126,315,482,537,839,963,1121,1195
153227,381,899,1299,1433,1562,1570,1595
153631,365,683,955,1283,1350,1373,1457
153732,564,824,957,1268,1504,1837,2184
153833,139,216,370,547,618,685,919
153934,255,498,923,1020,1184,1216,1278
154229,188,548,742,841,976,1008,1205
154330,191,283,524,563,668,805,868
154532,163,201,279,575,722,727,761
154734,172,281,587,657,836,1107,1351
154835,144,380,561,806,931,937,1127
154936,149,655,971,1246,1367,1486,1649
155635,288,1333,2552,2625,2758,3027,3145
155938,235,836,1028,1109,1414,1447,1734
156031,324,806,1041,1138,1280,1403,1554
156435,352,555,701,758,815,853,1080
156536,335,484,871,997,1163,1168,1287
157437,118,198,437,519,680,690,959
157942,192,518,985,1038,1322,1744,1746
158136,140,220,351,436,555,567,574
158338,376,656,1018,1149,1208,1224,1550
158843,147,514,721,928,972,999,1416
159138,203,239,610,718,907,989,1010
159340,171,603,944,1046,1156,1189,1463
159441,126,262,423,617,804,851,1034
159744,337,1138,1335,1519,1618,1640,1712
160729,265,420,652,688,767,872,873
160830,254,787,1028,1372,1434,1447,1463
161630,271,608,887,1018,1231,1254,1290
161832,219,376,605,880,1155,1185,1219
162026,282,523,1022,1076,1120,1182,1206
162228,817,1048,1403,1921,2008,2324,2591
162733,428,749,902,954,998,1113,1225
162935,128,202,415,490,697,945,968
163129,341,539,768,1146,1395,1398,1399
163331,298,721,928,1089,1382,1460,1607
163836,281,411,606,655,849,930,1136
164030,206,363,1058,1240,1318,1339,1500
164131,127,229,468,816,1077,1184,1310
164636,215,428,899,1271,1677,1701,1836
164939,139,288,479,761,976,1133,1198
165032,148,217,420,588,794,898,933
165436,655,927,1184,1436,1513,1552,1567
165638,272,651,1335,1385,1443,1500,1687
165941,413,1159,1372,1618,1788,1848,1915
166438,551,806,1074,1320,1428,1439,1829
166640,150,299,542,653,736,751,916
167036,194,439,747,797,1043,1096,1148
167238,206,720,872,1183,1348,1492,1640
167440,241,1563,2173,2209,2297,2306,2481
168139,220,399,679,772,812,822,895
168240,121,152,234,452,596,614,764
168341,141,199,403,606,644,666,762
168745,193,535,1326,1469,1597,1720,2016
168947,245,339,479,590,872,880,930
169040,258,347,423,591,615,642,658
169444,699,740,1227,1381,1428,1589,1733
169545,130,377,567,695,772,783,1121
169949,250,509,703,993,1162,1275,1406
170631,195,359,541,740,828,855,1313
171330,188,624,888,956,1151,1213,1409
171532,213,1617,2035,2165,2313,2430,2511
171633,179,522,886,1030,1105,1118,1340
172029,167,648,1012,1181,1322,1346,1377
172130,143,322,715,769,1014,1095,1121
172433,137,265,638,830,1076,1177,1224
172534,432,620,856,1083,1121,1390,1438
172938,136,303,412,821,882,887,921
173334,122,218,279,615,698,762,791
173435,507,641,924,1066,1080,1229,1459
173536,325,1172,1775,2032,2352,2374,2375
173637,417,1261,1453,1588,1649,1655,1673
173738,275,580,887,1103,1273,1286,1459
173839,730,1465,1757,1798,1894,1912,2002
173940,170,310,446,665,788,792,981
174841,196,279,620,679,832,836,865
175035,191,249,475,527,650,706,949
175136,126,244,579,696,959,1037,1039
175237,232,1475,2021,2064,2233,2526,2621
175338,205,326,588,843,988,990,1067
175540,287,1584,1728,1851,1894,1905,1990
175742,115,211,665,759,778,800,949
176037,130,219,402,614,706,737,814
176239,290,555,756,1075,1278,1385,1390
176441,239,826,1309,1398,1498,1589,1616
176744,223,296,452,596,740,744,828
176845,193,736,905,946,1133,1144,1223
177140,219,340,576,766,842,931,965
177241,353,632,899,939,1143,1185,1228
177645,274,388,994,1694,1728,1972,2057
178142,547,939,1861,1918,2066,2082,2255
178243,396,649,802,1164,1263,1284,1292
178647,192,1472,1884,1988,2104,2115,2186
178748,194,307,494,609,702,869,909
178849,140,210,335,392,438,581,598
178950,490,603,728,807,1094,1116,1262
179245,159,207,468,940,1093,1115,1229
179346,160,335,726,1295,1440,1487,1586
180129,170,539,1138,1311,1425,1434,1689
180230,116,206,390,647,1004,1032,1076
180432,213,308,553,728,923,946,1353
180533,152,269,413,485,530,557,599
180735,384,688,815,1426,1504,1549,1666
180836,673,1524,1841,2008,2075,2435,2448
180937,431,818,926,1075,1192,1290,1306
181131,174,214,572,923,1114,1115,1238
181232,248,474,812,905,1058,1082,1108
181636,229,388,781,924,1126,1147,1251
182032,185,271,584,825,907,981,1034
182436,139,296,715,942,982,1249,1396
183034,77,132,289,694,754,891,892
185038,195,560,891,941,1221,1426,1457
185341,540,852,971,1133,1205,1222,1479
185442,168,406,701,753,847,928,951
185846,579,700,763,874,958,959,1125
185947,257,477,1087,1178,1255,1336,1555
186040,194,448,579,739,861,868,907
186141,106,322,686,843,1036,1170,1222
186444,302,717,784,817,1099,1187,1261
186545,142,253,751,798,869,891,908
186848,253,1740,2221,2438,2762,2893,3055
187143,130,636,914,947,1180,1199,1824
187345,253,1356,1493,2530,2953,3122,3146
187547,230,400,506,695,796,895,928
187850,330,369,495,748,838,881,1038
188145,298,907,1422,1582,1708,1760,1776
188347,122,189,454,611,753,840,882
188448,186,426,668,1135,1326,1373,1445
188549,116,199,425,559,761,776,1115
188751,565,649,1581,1885,1945,1972,2071
189349,254,839,912,1042,1280,1317,1724
189450,326,438,665,728,850,963,1128
189652,202,263,410,534,570,639,698
191033,490,712,1108,1167,1262,1468,1558
191235,149,442,1173,1378,1609,1676,1858
191336,207,669,945,995,1125,1232,1530
191841,307,1360,1570,1768,1796,1805,2651
191942,212,457,868,933,1002,1058,1066
192035,296,2976,3477,3627,3787,3799,4105
192136,258,399,531,598,779,792,862
192237,167,413,496,699,792,908,1206
192641,277,329,588,1024,1339,1470,1772
192843,180,321,1088,1169,1605,1721,1790
193845,227,403,650,1084,1270,1414,1448
194443,136,365,476,727,767,788,860
194645,628,2298,2689,2851,2984,3195,3196
194746,290,1118,1503,1660,1812,1822,2206
194847,114,171,305,495,593,618,746
195041,140,304,630,707,933,1175,1193
195445,139,184,1072,1134,1471,1502,1507
195849,497,1472,1893,2034,2120,2204,2323
195950,260,536,856,941,1035,1050,1183
196346,157,510,853,1050,1081,1085,1099
197348,384,577,728,1067,1129,1146,1190
198047,145,245,376,470,567,692,1118
198249,107,177,453,599,616,744,787
198350,177,380,788,864,985,989,1088
198653,201,589,665,901,929,1108,1144
198855,314,1185,1407,1486,1584,1656,1774
199352,153,556,924,1352,1544,1636,1847
199453,175,368,594,634,778,811,885
199958,161,296,539,711,777,796,836
200008,308,557,796,891,1124,1224,1408
200109,120,170,820,1021,1220,1397,1645
200311,432,759,951,1207,1277,1384,1485
200513,354,769,934,1137,1340,1426,1484
200917,206,732,1008,1256,1377,1457,1625
201414,116,311,461,597,622,627,986
201515,257,514,1007,1258,1302,1312,1586
201818,247,785,892,1142,1271,1282,1297
202113,165,324,460,939,1098,1113,1158
202719,166,548,682,1113,1140,1331,1413
203418,128,389,702,787,961,1088,1162
203923,111,356,639,756,1013,1087,1254
204016,147,282,492,581,708,719,809
204218,216,360,720,757,1020,1109,1164
204319,142,249,440,728,820,867,1407
204420,224,341,636,829,894,920,938
204521,197,1159,1623,1665,1787,1855,2079
204622,137,217,357,402,645,703,758
205220,122,197,309,659,795,813,825
206222,343,536,857,904,951,1004,1075
206323,238,265,378,616,632,633,651
206525,257,1310,1570,1610,1672,1673,1732
206727,309,744,1066,1365,1428,1445,1644
206828,190,361,645,737,974,984,1272
206929,201,468,799,855,987,1439,1993
207123,201,724,1054,1224,1672,1961,2130
207426,237,422,1070,1347,1492,1509,1618
208024,147,261,428,478,599,656,664
208125,164,269,422,554,708,720,799
208327,246,310,416,733,810,840,977
208630,284,466,654,950,1013,1073,1089
209127,287,723,1040,1339,1384,1416,1644
209228,188,745,1179,1253,1502,1514,1840
209329,458,1223,1439,1515,1666,1775,1856
209834,430,1640,1922,2013,2330,2355,2464
210011,396,529,876,929,1021,1061,1150
210112,159,280,686,852,1088,1107,1182
210415,569,1062,1156,1220,1348,1487,1504
211114,207,550,760,876,930,1273,1297
211215,171,275,405,672,802,852,959
211316,278,470,638,740,818,942,992
211619,255,778,959,1011,1337,1346,1409
211720,286,1259,1503,1694,1723,1804,2211
211821,135,289,403,597,735,754,855
211922,173,255,369,565,680,814,938
212015,334,520,847,1090,1240,1276,1286
212116,1248,1324,2039,2167,2229,2233,2305
212217,367,1879,2027,2241,2255,2390,2411
212419,451,815,1179,1200,1498,1553,1587
212823,123,783,1392,1567,1640,1677,1747
213017,318,472,586,655,972,1109,1228
213421,345,1652,1953,2047,2090,2354,2424
213522,539,609,881,1052,1059,1210,1211
214524,128,278,647,883,1115,1276,1323
214625,182,267,1165,1278,1373,1392,1574
214726,241,755,881,1181,1282,1469,1539
217126,188,1351,1524,1629,1867,1944,2072
