Source,Target,Type,Weight
1,0,Undirected,7.1225
2,1,Undirected,1.5972
4,0,Undirected,0.99737
4,1,Undirected,14.565
4,2,Undirected,1.9235
4,3,Undirected,11.696
5,0,Undirected,3.747
5,2,Undirected,4.0568
6,0,Undirected,2.2682
6,2,Undirected,10.916
6,5,Undirected,4.9978
7,0,Undirected,3.8745
7,1,Undirected,0.42546
7,2,Undirected,3.2277
7,4,Undirected,2.6637
7,5,Undirected,2.3085
8,1,Undirected,1.8472
8,2,Undirected,4.8359
8,4,Undirected,1.1587
8,6,Undirected,8.2128
8,7,Undirected,3.0251
9,1,Undirected,3.1582
9,2,Undirected,3.0042
9,3,Undirected,0.86129
9,4,Undirected,3.3573
9,6,Undirected,0.16929
10,0,Undirected,4.3966
10,3,Undirected,0.73178
10,8,Undirected,0.24311
11,0,Undirected,0.58939
11,3,Undirected,10.724
11,4,Undirected,4.1456
11,5,Undirected,4.3798
11,6,Undirected,2.1391
11,8,Undirected,2.7055
11,9,Undirected,12.069
12,0,Undirected,1.8839
12,2,Undirected,0.81828
12,3,Undirected,2.9159
12,4,Undirected,0.26069
12,6,Undirected,2.1637
12,7,Undirected,7.3123
12,8,Undirected,3.2685
12,11,Undirected,1.8118
13,4,Undirected,4.9824
13,6,Undirected,3.5764
13,8,Undirected,0.78353
13,10,Undirected,2.5966
13,12,Undirected,1.4321
14,0,Undirected,1.3981
14,1,Undirected,10.042
14,3,Undirected,1.1994
14,4,Undirected,10.597
14,5,Undirected,7.899
14,8,Undirected,4.7276
14,9,Undirected,9.6559
14,10,Undirected,4.1282
14,11,Undirected,3.5794
14,13,Undirected,3.4828
15,1,Undirected,4.5443
15,2,Undirected,5.4925
15,3,Undirected,2.2571
15,4,Undirected,0.16479
15,5,Undirected,3.4104
15,6,Undirected,10.989
15,7,Undirected,2.4643
15,9,Undirected,1.7664
15,10,Undirected,6.4009
15,12,Undirected,0.93351
15,13,Undirected,3.5732
15,14,Undirected,1.4914
16,0,Undirected,2.0496
16,5,Undirected,4.619
16,6,Undirected,1.2009
16,7,Undirected,6.0371
16,8,Undirected,2.8759
16,9,Undirected,1.3838
16,10,Undirected,6.3151
16,13,Undirected,5.6376
16,15,Undirected,7.587
17,2,Undirected,1.5556
17,3,Undirected,4.8524
17,4,Undirected,4.4772
17,6,Undirected,2.3484
17,7,Undirected,1.4499
17,8,Undirected,0.54635
17,9,Undirected,4.2311
17,10,Undirected,0.40013
17,12,Undirected,2.9315
17,14,Undirected,1.3991
17,16,Undirected,2.0164
18,3,Undirected,1.937
18,4,Undirected,15.103
18,5,Undirected,6.689
18,6,Undirected,0.83788
18,7,Undirected,0.043364
18,11,Undirected,1.0136
18,14,Undirected,2.4667
18,16,Undirected,2.5689
18,17,Undirected,12.374
19,0,Undirected,0.99987
19,1,Undirected,0.058462
