Source,Target,Type,Weight
28,12,Undirected,4.0384
28,14,Undirected,0.15535
28,15,Undirected,3.5306
28,16,Undirected,0.1986
28,17,Undirected,6.5236
28,18,Undirected,0.58083
28,21,Undirected,2.9044
28,22,Undirected,3.3145
28,23,Undirected,5.722
28,24,Undirected,0.84374
28,25,Undirected,1.2649
29,1,Undirected,9.1052
29,3,Undirected,3.83
29,6,Undirected,0.52085
29,7,Undirected,4.5538
29,9,Undirected,3.8253
29,11,Undirected,2.1486
29,18,Undirected,3.0536
29,19,Undirected,0.43049
29,21,Undirected,0.98584
29,24,Undirected,2.133
29,25,Undirected,2.0092
29,26,Undirected,6.5975
30,2,Undirected,2.0538
30,3,Undirected,1.6867
30,6,Undirected,4.636
30,8,Undirected,9.4655
30,10,Undirected,8.5832
30,14,Undirected,0.23231
30,17,Undirected,0.50775
30,18,Undirected,0.65475
30,19,Undirected,8.0259
30,22,Undirected,2.9029
30,25,Undirected,0.72292
30,26,Undirected,2.5834
30,27,Undirected,6.5272
30,28,Undirected,0.68729
30,29,Undirected,4.5632
31,0,Undirected,1.3026
31,1,Undirected,0.0036275
31,2,Undirected,4.3447
31,3,Undirected,5.0961
31,4,Undirected,0.083463
31,6,Undirected,1.157
31,7,Undirected,3.417
31,8,Undirected,9.0487
31,9,Undirected,2.1177
31,10,Undirected,4.4742
31,12,Undirected,2.2254
31,15,Undirected,4.5692
31,16,Undirected,7.206
31,17,Undirected,1.847
31,19,Undirected,1.2324
31,20,Undirected,2.8764
31,22,Undirected,1.4247
31,23,Undirected,1.1777
31,26,Undirected,4.9494
31,28,Undirected,1.1653
31,29,Undirected,0.65426
32,0,Undirected,11.179
32,1,Undirected,0.016126
32,2,Undirected,0.36058
32,3,Undirected,0.020805
32,4,Undirected,2.9033
32,8,Undirected,1.0991
32,12,Undirected,0.3768
32,17,Undirected,3.4132
32,19,Undirected,0.63038
32,20,Undirected,0.44717
32,22,Undirected,5.583
32,28,Undirected,5.7409
32,29,Undirected,1.8205
33,6,Undirected,1.2649
33,7,Undirected,2.6437
33,9,Undirected,5.6931
33,19,Undirected,3.4876
33,22,Undirected,1.3727
33,23,Undirected,5.4315
33,24,Undirected,10.656
33,25,Undirected,2.5489
33,27,Undirected,1.6306
33,29,Undirected,3.7571
33,30,Undirected,0.22006
33,31,Undirected,1.8449
33,32,Undirected,2.276
34,1,Undirected,1.8594
34,2,Undirected,0.65453
34,4,Undirected,5.0691
34,5,Undirected,1.616
34,6,Undirected,0.080649
34,7,Undirected,0.19463
34,8,Undirected,0.61719
34,9,Undirected,1.6006
34,13,Undirected,3.7635
34,14,Undirected,5.9508
34,16,Undirected,1.2967
34,17,Undirected,1.3554
34,18,Undirected,0.99298
34,19,Undirected,1.5889
34,21,Undirected,2.3066
34,22,Undirected,0.44294
34,24,Undirected,7.3854
34,25,Undirected,4.1728
34,26,Undirected,1.0505
34,29,Undirected,1.5866
34,30,Undirected,0.35877
34,31,Undirected,2.039
34,32,Undirected,1.981
34,33,Undirected,6.1532
35,0,Undirected,2.1584
35,1,Undirected,2.1226
35,2,Undirected,2.25
35,3,Undirected,0.59586
35,4,Undirected,0.26221
35,6,Undirected,0.68776
35,7,Undirected,1.9316
35,9,Undirected,0.77801
35,10,Undirected,4.8545
35,11,Undirected,4.2274
35,13,Undirected,2.4899
35,14,Undirected,0.88953
35,23,Undirected,6.3708
35,24,Undirected,1.6559
35,25,Undirected,8.5335
35,26,Undirected,2.2264
35,27,Undirected,6.5066
35,30,Undirected,1.1046
35,32,Undirected,0.39234
35,33,Undirected,7.7155
36,0,Undirected,14.678
36,1,Undirected,6.2287
36,5,Undirected,0.99116
36,6,Undirected,1.8149
36,9,Undirected,1.9242
36,10,Undirected,1.2294
36,11,Undirected,0.63435
36,13,Undirected,0.59868
36,17,Undirected,0.97031
36,18,Undirected,3.6166
36,20,Undirected,0.82612
36,22,Undirected,10.701
36,23,Undirected,1.2079
36,24,Undirected,3.932
36,25,Undirected,0.62637
36,26,Undirected,2.0942
36,28,Undirected,6.991
36,30,Undirected,1.8757
36,32,Undirected,10.943
36,34,Undirected,0.80107
37,2,Undirected,3.6664
37,4,Undirected,0.48155
37,8,Undirected,1.5153
37,9,Undirected,1.2967
37,10,Undirected,5.3449
37,11,Undirected,0.5424
37,12,Undirected,0.60586
37,13,Undirected,4.461
37,15,Undirected,0.076584
37,16,Undirected,4.9234
37,17,Undirected,2.8041
37,18,Undirected,2.802
37,19,Undirected,1.4664
37,20,Undirected,0.98256
37,22,Undirected,0.87186
37,24,Undirected,7.395
37,26,Undirected,2.8821
37,28,Undirected,0.13482
37,29,Undirected,4.8776
37,33,Undirected,5.6104
37,34,Undirected,11.608
37,35,Undirected,2.3061
37,36,Undirected,2.5306
38,0,Undirected,0.55738
38,1,Undirected,2.1822
38,3,Undirected,0.42384
38,8,Undirected,2.8308
38,11,Undirected,1.6262
