,NG sim,subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
118,0,120,175,289,358,419,553,777,817
119,0,121,141,194,506,561,714,768,836
120,0,106,261,2221,2622,2884,2901,3078,3335
121,0,125,126,432,536,616,687,744,746
122,0,119,324,933,1141,1218,1288,1301,1462
123,0,124,169,265,913,1017,1224,1319,1400
124,0,130,108,163,291,379,648,757,785
125,0,132,126,213,340,504,622,694,718
126,0,117,459,1263,1866,2023,2235,2242,2340
127,0,126,201,320,448,650,883,996,1295
128,0,127,228,809,947,1097,1399,1438,1443
129,0,128,313,598,837,1118,1331,1412,1453
130,0,133,210,331,742,797,882,958,1046
131,0,131,271,493,1353,1381,1437,1459,1550
132,0,136,192,378,530,702,798,1041,1060
133,0,129,243,1125,1480,1600,1661,1703,1929
134,0,122,182,2087,2261,2423,2504,2603,2687
135,0,134,223,480,1049,1370,1420,1463,1547
136,0,139,388,515,804,934,1082,1156,1179
137,0,137,314,674,889,1060,1204,1334,1511
138,0,141,150,306,555,636,937,1013,1056
139,0,145,142,182,350,400,447,559,679
140,0,138,401,538,891,965,1262,1371,1561
141,0,140,146,225,982,1188,1398,1428,1495
142,0,143,342,821,1211,1370,1624,1693,1799
143,0,144,282,1218,1518,1671,1732,1733,1755
144,0,151,219,593,892,961,1008,1024,1070
145,0,146,407,706,1213,1467,1572,1616,1676
146,0,142,427,1407,1810,2048,2081,2090,2104
147,0,135,143,2278,2688,2749,3078,3119,3163
148,0,153,130,278,507,724,861,887,898
149,0,150,593,924,1607,1672,1696,1818,1884
150,0,149,265,728,901,1216,1522,1560,1897
151,0,147,455,1154,1566,1931,2016,2139,2374
152,0,157,173,384,517,558,684,716,1095
153,0,154,241,692,1486,1615,1636,1637,1793
154,0,152,289,631,1544,1966,2320,2404,2416
155,0,159,172,660,816,863,988,1175,1497
156,0,148,192,1502,2212,2635,2688,2706,2726
157,0,160,394,549,1206,1333,1483,1498,1503
158,0,155,242,742,938,1338,1379,1467,2051
159,0,161,420,853,1062,1106,1313,1322,1393
160,0,156,181,1509,1945,2179,2248,2358,2379
161,0,165,96,495,678,799,855,859,1048
162,0,162,116,942,1318,1402,1490,1498,1712
163,0,169,221,401,554,618,782,785,846
164,0,158,183,1642,1986,2157,2230,2314,2406
165,0,166,232,389,513,823,937,1193,1347
166,0,164,138,720,1158,1364,1643,1721,1861
167,0,175,166,357,462,598,655,792,849
168,0,168,159,968,1420,1658,1768,1787,1870
169,0,170,455,1285,1451,1760,1792,1858,1885
170,0,172,174,581,675,885,1095,1146,1449
171,0,174,212,532,695,771,970,1111,1300
172,0,177,194,246,607,646,723,1016,1076
173,0,171,593,1094,1428,1705,1911,1930,1976
174,0,167,393,1456,1682,1915,2266,2518,2572
175,0,179,165,412,622,686,774,775,817
176,0,176,192,387,940,1243,1370,1422,1532
177,0,186,124,164,265,338,369,403,419
178,0,178,174,335,1055,1224,1350,1391,1400
179,0,173,208,1330,1589,1664,1851,1865,2264
180,0,180,119,218,519,670,895,1020,1056
181,0,187,136,254,325,394,493,559,735
182,0,181,167,386,704,757,1046,1274,1417
183,0,185,143,401,819,879,910,996,1068
184,0,182,142,898,1152,1215,1294,1319,1361
185,0,163,565,2333,3731,3931,3972,4182,4538
186,0,184,191,332,616,668,1257,1303,1367
187,0,183,462,596,857,900,1284,1405,1665
188,0,192,139,216,370,547,618,685,919
189,0,188,315,482,537,839,963,1121,1195
190,0,196,163,201,279,575,722,727,761
191,0,195,191,283,524,563,668,805,868
192,0,189,381,899,1299,1433,1562,1570,1595
193,0,190,365,683,955,1283,1350,1373,1457
194,0,194,188,548,742,841,976,1008,1205
195,0,193,255,498,923,1020,1184,1216,1278
196,0,198,144,380,561,806,931,937,1127
197,0,197,172,281,587,657,836,1107,1351
198,0,191,564,824,957,1268,1504,1837,2184
199,0,207,140,220,351,436,555,567,574
200,0,203,352,555,701,758,815,853,1080
201,0,205,118,198,437,519,680,690,959
202,0,204,335,484,871,997,1163,1168,1287
203,0,199,149,655,971,1246,1367,1486,1649
204,0,202,324,806,1041,1138,1280,1403,1554
205,0,201,235,836,1028,1109,1414,1447,1734
206,0,210,203,239,610,718,907,989,1010
207,0,206,192,518,985,1038,1322,1744,1746
208,0,214,265,420,652,688,767,872,873
209,0,212,126,262,423,617,804,851,1034
210,0,209,147,514,721,928,972,999,1416
211,0,208,376,656,1018,1149,1208,1224,1550
212,0,211,171,603,944,1046,1156,1189,1463
213,0,216,271,608,887,1018,1231,1254,1290
214,0,213,337,1138,1335,1519,1618,1640,1712
215,0,215,254,787,1028,1372,1434,1447,1463
216,0,217,219,376,605,880,1155,1185,1219
217,0,218,282,523,1022,1076,1120,1182,1206
218,0,200,288,1333,2552,2625,2758,3027,3145
219,0,221,128,202,415,490,697,945,968
220,0,220,428,749,902,954,998,1113,1225
221,0,224,281,411,606,655,849,930,1136
222,0,222,341,539,768,1146,1395,1398,1399
223,0,229,148,217,420,588,794,898,933
224,0,223,298,721,928,1089,1382,1460,1607
225,0,226,127,229,468,816,1077,1184,1310
226,0,228,139,288,479,761,976,1133,1198
227,0,225,206,363,1058,1240,1318,1339,1500
228,0,234,150,299,542,653,736,751,916
229,0,219,817,1048,1403,1921,2008,2324,2591
230,0,230,655,927,1184,1436,1513,1552,1567
231,0,231,272,651,1335,1385,1443,1500,1687
232,0,227,215,428,899,1271,1677,1701,1836
233,0,235,194,439,747,797,1043,1096,1148
234,0,232,413,1159,1372,1618,1788,1848,1915
235,0,240,141,199,403,606,644,666,762
236,0,239,121,152,234,452,596,614,764
237,0,238,220,399,679,772,812,822,895
238,0,233,551,806,1074,1320,1428,1439,1829
239,0,243,258,347,423,591,615,642,658
240,0,236,206,720,872,1183,1348,1492,1640
241,0,242,245,339,479,590,872,880,930
242,0,245,130,377,567,695,772,783,1121
243,0,247,195,359,541,740,828,855,1313
244,0,246,250,509,703,993,1162,1275,1406
245,0,241,193,535,1326,1469,1597,1720,2016
246,0,248,188,624,888,956,1151,1213,1409
247,0,244,699,740,1227,1381,1428,1589,1733
248,0,237,241,1563,2173,2209,2297,2306,2481
249,0,250,179,522,886,1030,1105,1118,1340
250,0,251,167,648,1012,1181,1322,1346,1377
251,0,252,143,322,715,769,1014,1095,1121
252,0,253,137,265,638,830,1076,1177,1224
253,0,256,122,218,279,615,698,762,791
254,0,255,136,303,412,821,882,887,921
255,0,254,432,620,856,1083,1121,1390,1438
256,0,263,196,279,620,679,832,836,865
257,0,262,170,310,446,665,788,792,981
258,0,257,507,641,924,1066,1080,1229,1459
259,0,249,213,1617,2035,2165,2313,2430,2511
260,0,264,191,249,475,527,650,706,949
261,0,260,275,580,887,1103,1273,1286,1459
262,0,265,126,244,579,696,959,1037,1039
263,0,259,417,1261,1453,1588,1649,1655,1673
264,0,270,130,219,402,614,706,737,814
265,0,267,205,326,588,843,988,990,1067
266,0,261,730,1465,1757,1798,1894,1912,2002
267,0,269,115,211,665,759,778,800,949
268,0,258,325,1172,1775,2032,2352,2374,2375
269,0,273,223,296,452,596,740,744,828
270,0,275,219,340,576,766,842,931,965
271,0,271,290,555,756,1075,1278,1385,1390
272,0,274,193,736,905,946,1133,1144,1223
273,0,268,287,1584,1728,1851,1894,1905,1990
274,0,272,239,826,1309,1398,1498,1589,1616
275,0,276,353,632,899,939,1143,1185,1228
276,0,282,140,210,335,392,438,581,598
277,0,281,194,307,494,609,702,869,909
278,0,266,232,1475,2021,2064,2233,2526,2621
279,0,279,396,649,802,1164,1263,1284,1292
280,0,289,152,269,413,485,530,557,599
281,0,284,159,207,468,940,1093,1115,1229
282,0,277,274,388,994,1694,1728,1972,2057
283,0,283,490,603,728,807,1094,1116,1262
284,0,287,116,206,390,647,1004,1032,1076
285,0,278,547,939,1861,1918,2066,2082,2255
286,0,280,192,1472,1884,1988,2104,2115,2186
287,0,288,213,308,553,728,923,946,1353
288,0,285,160,335,726,1295,1440,1487,1586
289,0,286,170,539,1138,1311,1425,1434,1689
290,0,290,384,688,815,1426,1504,1549,1666
291,0,293,174,214,572,923,1114,1115,1238
292,0,296,185,271,584,825,907,981,1034
293,0,294,248,474,812,905,1058,1082,1108
294,0,292,431,818,926,1075,1192,1290,1306
295,0,298,77,132,289,694,754,891,892
296,0,295,229,388,781,924,1126,1147,1251
297,0,297,139,296,715,942,982,1249,1396
298,0,291,673,1524,1841,2008,2075,2435,2448
299,0,301,168,406,701,753,847,928,951
300,0,304,194,448,579,739,861,868,907
301,0,302,579,700,763,874,958,959,1125
302,0,299,195,560,891,941,1221,1426,1457
303,0,307,142,253,751,798,869,891,908
304,0,300,540,852,971,1133,1205,1222,1479
305,0,305,106,322,686,843,1036,1170,1222
306,0,306,302,717,784,817,1099,1187,1261
307,0,303,257,477,1087,1178,1255,1336,1555
308,0,311,230,400,506,695,796,895,928
309,0,314,122,189,454,611,753,840,882
310,0,312,330,369,495,748,838,881,1038
311,0,316,116,199,425,559,761,776,1115
312,0,309,130,636,914,947,1180,1199,1824
313,0,315,186,426,668,1135,1326,1373,1445
314,0,320,202,263,410,534,570,639,698
315,0,319,326,438,665,728,850,963,1128
316,0,313,298,907,1422,1582,1708,1760,1776
317,0,318,254,839,912,1042,1280,1317,1724
318,0,317,565,649,1581,1885,1945,1972,2071
319,0,327,258,399,531,598,779,792,862
320,0,325,212,457,868,933,1002,1058,1066
321,0,321,490,712,1108,1167,1262,1468,1558
322,0,308,253,1740,2221,2438,2762,2893,3055
323,0,322,149,442,1173,1378,1609,1676,1858
324,0,323,207,669,945,995,1125,1232,1530
325,0,328,167,413,496,699,792,908,1206
326,0,310,253,1356,1493,2530,2953,3122,3146
327,0,332,136,365,476,727,767,788,860
328,0,335,114,171,305,495,593,618,746
329,0,329,277,329,588,1024,1339,1470,1772
330,0,331,227,403,650,1084,1270,1414,1448
331,0,324,307,1360,1570,1768,1796,1805,2651
332,0,336,140,304,630,707,933,1175,1193
333,0,330,180,321,1088,1169,1605,1721,1790
334,0,340,157,510,853,1050,1081,1085,1099
335,0,337,139,184,1072,1134,1471,1502,1507
336,0,339,260,536,856,941,1035,1050,1183
337,0,343,107,177,453,599,616,744,787
338,0,334,290,1118,1503,1660,1812,1822,2206
339,0,342,145,245,376,470,567,692,1118
340,0,341,384,577,728,1067,1129,1146,1190
341,0,344,177,380,788,864,985,989,1088
342,0,345,201,589,665,901,929,1108,1144
343,0,338,497,1472,1893,2034,2120,2204,2323
344,0,348,175,368,594,634,778,811,885
345,0,349,161,296,539,711,777,796,836
346,0,333,628,2298,2689,2851,2984,3195,3196
347,0,326,296,2976,3477,3627,3787,3799,4105
348,0,346,314,1185,1407,1486,1584,1656,1774
349,0,347,153,556,924,1352,1544,1636,1847
350,0,355,116,311,461,597,622,627,986
351,0,350,308,557,796,891,1124,1224,1408
352,0,352,432,759,951,1207,1277,1384,1485
353,0,351,120,170,820,1021,1220,1397,1645
354,0,354,206,732,1008,1256,1377,1457,1625
355,0,353,354,769,934,1137,1340,1426,1484
356,0,356,257,514,1007,1258,1302,1312,1586
357,0,358,165,324,460,939,1098,1113,1158
358,0,357,247,785,892,1142,1271,1282,1297
359,0,362,147,282,492,581,708,719,809
360,0,360,128,389,702,787,961,1088,1162
361,0,365,224,341,636,829,894,920,938
362,0,361,111,356,639,756,1013,1087,1254
363,0,367,137,217,357,402,645,703,758
364,0,359,166,548,682,1113,1140,1331,1413
365,0,370,238,265,378,616,632,633,651
366,0,363,216,360,720,757,1020,1109,1164
367,0,368,122,197,309,659,795,813,825
368,0,364,142,249,440,728,820,867,1407
369,0,369,343,536,857,904,951,1004,1075
370,0,377,147,261,428,478,599,656,664
371,0,378,164,269,422,554,708,720,799
372,0,373,190,361,645,737,974,984,1272
373,0,379,246,310,416,733,810,840,977
374,0,366,197,1159,1623,1665,1787,1855,2079
375,0,371,257,1310,1570,1610,1672,1673,1732
376,0,372,309,744,1066,1365,1428,1445,1644
377,0,380,284,466,654,950,1013,1073,1089
378,0,376,237,422,1070,1347,1492,1509,1618
379,0,374,201,468,799,855,987,1439,1993
380,0,381,287,723,1040,1339,1384,1416,1644
381,0,375,201,724,1054,1224,1672,1961,2130
382,0,385,396,529,876,929,1021,1061,1150
383,0,386,159,280,686,852,1088,1107,1182
384,0,389,171,275,405,672,802,852,959
385,0,388,207,550,760,876,930,1273,1297
386,0,382,188,745,1179,1253,1502,1514,1840
387,0,387,569,1062,1156,1220,1348,1487,1504
388,0,390,278,470,638,740,818,942,992
